node_id,parent_id,volume,node_type,code,name,description,prerequisite_node_ids,primary_competencies,typical_question_types,common_errors,gaokao_priority,status,reviewed_by
pep_a_r1_c5_s5,pep_a_r1_c5,必修第一册,section,5.5,三角恒等变换,和差角与二倍角公式,pep_a_r1_c5_s2|pep_a_r1_c5_s3,数学运算|逻辑推理,选择题|填空题|解答题,公式符号和角结构错误,high,ready_for_teacher_review,user_pending
kp_r1_5_5_01,pep_a_r1_c5_s5,必修第一册,knowledge_point,5.5.1,两角和与差公式,正弦余弦正切的和差角公式,kp_r1_5_2_03|kp_r1_5_3_03,数学运算,公式求值|恒等证明,正弦余弦公式符号混淆,high,ready_for_teacher_review,user_pending
kp_r1_5_5_02,pep_a_r1_c5_s5,必修第一册,knowledge_point,5.5.2,二倍角公式,由和角公式得到二倍角公式,kp_r1_5_5_01,数学运算,化简求值|降幂,余弦二倍角形式选择不当,high,ready_for_teacher_review,user_pending
kp_r1_5_5_03,pep_a_r1_c5_s5,必修第一册,knowledge_point,5.5.3,三角恒等变换综合,配角降幂辅助角和恒等证明,kp_r1_5_5_01|kp_r1_5_5_02,数学运算|逻辑推理,恒等变换|最值,盲目展开导致结构复杂,high,ready_for_teacher_review,user_pending
pep_a_r1_c5_s6,pep_a_r1_c5,必修第一册,section,5.6,函数y等于Asinωx加φ,参数对图象的影响和图象变换,pep_a_r1_c5_s4|pep_a_r1_c5_s5,直观想象|数学建模,选择题|填空题|解答题,平移量与相位混淆,high,ready_for_teacher_review,user_pending
kp_r1_5_6_01,pep_a_r1_c5_s6,必修第一册,knowledge_point,5.6.1,振幅周期相位,参数Aωφ的几何意义,kp_r1_5_4_01,数学抽象|直观想象,参数识别|性质判断,周期误写为二π乘ω,high,ready_for_teacher_review,user_pending
kp_r1_5_6_02,pep_a_r1_c5_s6,必修第一册,knowledge_point,5.6.2,三角函数图象变换,平移伸缩和变换顺序,kp_r1_5_6_01,直观想象|数学运算,图象变换|表达式求解,先伸缩后平移换算错误,high,ready_for_teacher_review,user_pending
kp_r1_5_6_03,pep_a_r1_c5_s6,必修第一册,knowledge_point,5.6.3,由图象求解析式,利用最值周期和关键点确定参数,kp_r1_5_6_01|kp_r1_5_6_02,数学运算|直观想象,图象求式|参数题,相位多解未结合图象,high,ready_for_teacher_review,user_pending
kp_r1_5_6_04,pep_a_r1_c5_s6,必修第一册,knowledge_point,5.6.4,三角函数性质综合,求单调区间值域对称轴和零点,kp_r1_5_4_04|kp_r1_5_6_03,逻辑推理|数学运算,综合题|参数范围,复合角替换后区间未同步,high,ready_for_teacher_review,user_pending
pep_a_r1_c5_s7,pep_a_r1_c5,必修第一册,section,5.7,三角函数的应用,周期现象和实际模型,pep_a_r1_c5_s4|pep_a_r1_c5_s6,数学建模|数学运算,解答题|应用题,参数单位和定义域遗漏,medium,ready_for_teacher_review,user_pending
kp_r1_5_7_01,pep_a_r1_c5_s7,必修第一册,knowledge_point,5.7.1,周期现象建模,从实际周期确定ω,kp_r1_5_6_01|kp_r1_3_4_01,数学建模,潮汐温度|周期模型,周期与角频率关系错误,medium,ready_for_teacher_review,user_pending
kp_r1_5_7_02,pep_a_r1_c5_s7,必修第一册,knowledge_point,5.7.2,三角模型参数解释,振幅基线相位和实际含义,kp_r1_5_6_03|kp_r1_5_7_01,数学建模|数据分析,建模解释|预测,只求参数不解释单位,medium,ready_for_teacher_review,user_pending
kp_r1_5_7_03,pep_a_r1_c5_s7,必修第一册,knowledge_point,5.7.3,三角函数应用综合,在实际范围内求最值和时刻,kp_r1_5_6_04|kp_r1_5_7_02,数学建模|数学运算,应用解答题,数学解未筛选实际区间,high,ready_for_teacher_review,user_pending
